Kode Wilayah;Provinsi;Kabupaten Kota;Komoditas ;Tanggal;No;HET/HA ;Level 2 All
1101;Aceh;Kab. Aceh Selatan;Bawang Merah;30/06/2026;1;41500;
1101;Aceh;Kab. Aceh Selatan;Bawang Merah;29/06/2026;1;41500;40000
1101;Aceh;Kab. Aceh Selatan;Bawang Putih Honan;30/06/2026;2;38000;
1101;Aceh;Kab. Aceh Selatan;Bawang Putih Honan;29/06/2026;2;38000;50000
1101;Aceh;Kab. Aceh Selatan;Beras Medium;30/06/2026;3;14000;
1101;Aceh;Kab. Aceh Selatan;Beras Medium;29/06/2026;3;14000;14350
1101;Aceh;Kab. Aceh Selatan;Beras Premium;30/06/2026;4;15400;
1101;Aceh;Kab. Aceh Selatan;Beras Premium;29/06/2026;4;15400;17025
1101;Aceh;Kab. Aceh Selatan;Cabai Merah Keriting;30/06/2026;5;55000;
1101;Aceh;Kab. Aceh Selatan;Cabai Merah Keriting;29/06/2026;5;55000;48000
1101;Aceh;Kab. Aceh Selatan;Daging Ayam Ras;30/06/2026;6;40000;
1101;Aceh;Kab. Aceh Selatan;Daging Ayam Ras;29/06/2026;6;40000;36000
1101;Aceh;Kab. Aceh Selatan;Garam Halus;30/06/2026;7;;
1101;Aceh;Kab. Aceh Selatan;Garam Halus;29/06/2026;7;;13000
1101;Aceh;Kab. Aceh Selatan;Gula Pasir Curah;30/06/2026;8;17500;
1101;Aceh;Kab. Aceh Selatan;Gula Pasir Curah;29/06/2026;8;17500;19000
1101;Aceh;Kab. Aceh Selatan;Ikan Kembung;30/06/2026;9;;
1101;Aceh;Kab. Aceh Selatan;Ikan Kembung;29/06/2026;9;;45000
1101;Aceh;Kab. Aceh Selatan;Minyak Goreng Sawit Curah;30/06/2026;10;;
1101;Aceh;Kab. Aceh Selatan;Minyak Goreng Sawit Curah;29/06/2026;10;;18000
1101;Aceh;Kab. Aceh Selatan;Minyak Goreng Sawit Kemasan Premium;30/06/2026;11;;
1101;Aceh;Kab. Aceh Selatan;Minyak Goreng Sawit Kemasan Premium;29/06/2026;11;;23000
1101;Aceh;Kab. Aceh Selatan;Minyakita;30/06/2026;12;15700;
1101;Aceh;Kab. Aceh Selatan;Minyakita;29/06/2026;12;15700;15700
1101;Aceh;Kab. Aceh Selatan;Telur Ayam Ras;30/06/2026;13;30000;
1101;Aceh;Kab. Aceh Selatan;Telur Ayam Ras;29/06/2026;13;30000;29500
1101;Aceh;Kab. Aceh Selatan;Tepung Terigu;30/06/2026;14;;
1101;Aceh;Kab. Aceh Selatan;Tepung Terigu;29/06/2026;14;;14000
1102;Aceh;Kab. Aceh Tenggara;Bawang Merah;30/06/2026;15;41500;40000
1102;Aceh;Kab. Aceh Tenggara;Bawang Merah;29/06/2026;15;41500;40000
1102;Aceh;Kab. Aceh Tenggara;Bawang Putih Honan;30/06/2026;16;38000;40000
1102;Aceh;Kab. Aceh Tenggara;Bawang Putih Honan;29/06/2026;16;38000;40000
1102;Aceh;Kab. Aceh Tenggara;Beras Medium;30/06/2026;17;14000;13600
1102;Aceh;Kab. Aceh Tenggara;Beras Medium;29/06/2026;17;14000;13600
1102;Aceh;Kab. Aceh Tenggara;Beras Premium;30/06/2026;18;15400;14300
1102;Aceh;Kab. Aceh Tenggara;Beras Premium;29/06/2026;18;15400;14300
1102;Aceh;Kab. Aceh Tenggara;Cabai Merah Keriting;30/06/2026;19;55000;48000
1102;Aceh;Kab. Aceh Tenggara;Cabai Merah Keriting;29/06/2026;19;55000;48000
1102;Aceh;Kab. Aceh Tenggara;Cabai Rawit Merah;30/06/2026;20;57000;40000
1102;Aceh;Kab. Aceh Tenggara;Cabai Rawit Merah;29/06/2026;20;57000;40000
1102;Aceh;Kab. Aceh Tenggara;Daging Ayam Ras;30/06/2026;21;40000;35000
1102;Aceh;Kab. Aceh Tenggara;Daging Ayam Ras;29/06/2026;21;40000;35000
1102;Aceh;Kab. Aceh Tenggara;Daging Sapi Paha Belakang;30/06/2026;22;140000;160000
1102;Aceh;Kab. Aceh Tenggara;Daging Sapi Paha Belakang;29/06/2026;22;140000;160000
1102;Aceh;Kab. Aceh Tenggara;Garam Halus;30/06/2026;23;;15000
1102;Aceh;Kab. Aceh Tenggara;Garam Halus;29/06/2026;23;;15000
1102;Aceh;Kab. Aceh Tenggara;Gula Pasir Curah;30/06/2026;24;17500;19000
1102;Aceh;Kab. Aceh Tenggara;Gula Pasir Curah;29/06/2026;24;17500;19000
1102;Aceh;Kab. Aceh Tenggara;Minyak Goreng Sawit Curah;30/06/2026;25;;18000
1102;Aceh;Kab. Aceh Tenggara;Minyak Goreng Sawit Curah;29/06/2026;25;;18000
1102;Aceh;Kab. Aceh Tenggara;Minyak Goreng Sawit Kemasan Premium;30/06/2026;26;;24000
1102;Aceh;Kab. Aceh Tenggara;Minyak Goreng Sawit Kemasan Premium;29/06/2026;26;;24000
1102;Aceh;Kab. Aceh Tenggara;Minyakita;30/06/2026;27;15700;18000
1102;Aceh;Kab. Aceh Tenggara;Minyakita;29/06/2026;27;15700;17500
1102;Aceh;Kab. Aceh Tenggara;Telur Ayam Ras;30/06/2026;28;30000;26000
1102;Aceh;Kab. Aceh Tenggara;Telur Ayam Ras;29/06/2026;28;30000;26000
1102;Aceh;Kab. Aceh Tenggara;Tepung Terigu;30/06/2026;29;;15000
1102;Aceh;Kab. Aceh Tenggara;Tepung Terigu;29/06/2026;29;;15000
1103;Aceh;Kab. Aceh Timur;Bawang Merah;30/06/2026;30;41500;
1103;Aceh;Kab. Aceh Timur;Bawang Merah;29/06/2026;30;41500;35000
1103;Aceh;Kab. Aceh Timur;Bawang Putih Honan;30/06/2026;31;38000;
1103;Aceh;Kab. Aceh Timur;Bawang Putih Honan;29/06/2026;31;38000;40000
1103;Aceh;Kab. Aceh Timur;Beras Medium;30/06/2026;32;14000;
1103;Aceh;Kab. Aceh Timur;Beras Medium;29/06/2026;32;14000;14600
1103;Aceh;Kab. Aceh Timur;Beras Premium;30/06/2026;33;15400;
1103;Aceh;Kab. Aceh Timur;Beras Premium;29/06/2026;33;15400;16000
1103;Aceh;Kab. Aceh Timur;Cabai Merah Keriting;30/06/2026;34;55000;
1103;Aceh;Kab. Aceh Timur;Cabai Merah Keriting;29/06/2026;34;55000;40000
1103;Aceh;Kab. Aceh Timur;Cabai Rawit Merah;30/06/2026;35;57000;
1103;Aceh;Kab. Aceh Timur;Cabai Rawit Merah;29/06/2026;35;57000;40000
1103;Aceh;Kab. Aceh Timur;Daging Ayam Ras;30/06/2026;36;40000;
